category_code,price
electronics.smartphone,1481702.04
computers.notebook,77974.92
electronics.video.tv,77487.87
electronics.clocks,51979.77
appliances.kitchen.refrigerators,39927.97
appliances.kitchen.washer,39310.56
electronics.audio.headphone,29732.48
appliances.environment.vacuum,17820.14
computers.desktop,14783.4
electronics.tablet,13604.99
auto.accessories.player,6081.51
auto.accessories.alarm,5230.65
computers.peripherals.printer,4746.42
furniture.bedroom.bed,4160.45
kids.carriage,4025.5699999999997
furniture.living_room.cabinet,4006.54
construction.tools.saw,3995.37
apparel.shoes,3840.75
appliances.sewing_machine,3745.65
sport.bicycle,3706.1299999999997
auto.accessories.videoregister,3658.12
electronics.audio.subwoofer,3632.67
computers.components.videocards,3269.67
appliances.iron,3055.67
appliances.kitchen.microwave,2950.69
furniture.living_room.sofa,2934.64
appliances.environment.air_conditioner,2888.3
appliances.kitchen.oven,2734.1
appliances.kitchen.hob,2706.3
construction.tools.generator,2289.03
appliances.environment.water_heater,2268.44
apparel.shoes.keds,2139.14
construction.tools.drill,2039.13
electronics.camera.video,1967.6100000000001
kids.skates,1790.81
computers.ebooks,1544.96
computers.peripherals.monitor,1510.13
appliances.kitchen.dishwasher,1507.53
electronics.telephone,1350.44
appliances.kitchen.blender,1345.71
appliances.kitchen.meat_grinder,1218.17
construction.tools.welding,1159.73
appliances.kitchen.mixer,970.41
furniture.kitchen.chair,928.04
appliances.environment.air_heater,908.36
appliances.kitchen.juicer,897.3199999999999
electronics.audio.music_tools.piano,818.12
appliances.kitchen.coffee_machine,810.46
electronics.audio.acoustic,809.37
apparel.costume,691.06
furniture.kitchen.table,681.59
appliances.kitchen.kettle,679.55
appliances.kitchen.hood,640.88
computers.components.hdd,615.82
kids.swing,588.6800000000001
appliances.kitchen.grill,576.25
accessories.bag,518.9
electronics.video.projector,507.62
computers.components.motherboard,477.15
electronics.camera.photo,442.71
computers.peripherals.camera,428.62
auto.accessories.radar,378.89
sport.trainer,374.37
electronics.audio.microphone,352.1
computers.peripherals.mouse,347.73
computers.peripherals.keyboard,285.73
appliances.personal.hair_cutter,279.33000000000004
medicine.tools.tonometer,274.06
furniture.living_room.chair,255.63
kids.toys,242.26999999999998
appliances.ironing_board,236.97
construction.tools.pump,222.12
appliances.personal.scales,215.05
auto.accessories.compressor,207.77999999999997
computers.components.memory,181.45000000000002
computers.components.cpu,174.27
auto.accessories.parktronic,123.56
construction.components.faucet,123.03
appliances.kitchen.toster,122.6
furniture.bathroom.toilet,100.32
computers.components.cooler,96.09
kids.dolls,85.53
accessories.wallet,84.94
furniture.bedroom.blanket,77.22
apparel.shoes.moccasins,64.61
appliances.personal.massager,48.46
appliances.kitchen.coffee_grinder,42.16
apparel.jeans,40.67
appliances.kitchen.steam_cooker,35.99
kids.fmcg.diapers,33.67
construction.tools.light,29.83
accessories.umbrella,25.48
furniture.bedroom.pillow,24.939999999999998
computers.components.power_supply,24.43
apparel.underwear,12.85
stationery.cartrige,9.71
